Fluenr.;CTmax;;;;
1;39,66;;;;
2;NA;;;;
3;39,95;;;;
4;40,05;;;;
5;38,42;;;;
6;38,88;;;;
7;39,22;;;;
8;38,3;;;;
9;38,12;;;;
10;38,93;;;;
11;40,24;;;;
12;39,09;;;;
13;39,31;;;;
14;37,91;;;;
15;39,31;;;;
16;38,52;;;;
17;37,42;;;;
18;39,09;;;;
19;38,39;;;;
20;38,48;;;;
21;38,2;;;;
22;39,73;;;;
23;39,73;;;;
24;39,52;;;;
25;39,84;;;;
26;39,25;;;;
27;38,83;;;;
28;38,7;;;;
29;39,11;;;;
30;39,36;;;;
31;38,78;;;;
32;39,22;;;;
33;37,61;;;;
34;39,63;;;;
35;38,98;;;;
36;39,9;;;;
37;37,84;;;;
38;39,51;;;;
39;39,35;;;;
40;39,43;;;;
;;;;;
;;;;;
