Time;Group;Metabolite;Status
4;FG20;0;1
4;FG20;0;1
8;FG20;0;1
12;FG20;0;1
4;FG20;1;1
4;FG20;1;1
4;FG20;1;1
4;FG20;1;1
6;FG20;1;1
6;FG20;1;1
6;FG20;1;1
6;FG20;1;1
8;FG20;1;1
8;FG20;1;1
8;FG20;1;1
8;FG20;1;1
10;FG20;1;1
10;FG20;1;1
10;FG20;1;1
10;FG20;1;1
10;FG20;1;1
10;FG20;1;1
10;FG20;1;1
12;FG20;1;1
12;FG20;1;1
12;FG20;1;1
12;FG20;1;1
14;FG20;1;1
14;FG20;1;1
14;FG20;1;1
14;FG20;1;1
16;FG20;1;1
16;FG20;1;1
4;FG13;0;1
6;FG13;0;1
6;FG13;0;1
8;FG13;0;1
10;FG13;0;1
10;FG13;0;1
10;FG13;0;1
10;FG13;0;1
10;FG13;0;1
12;FG13;0;1
12;FG13;0;1
12;FG13;0;1
12;FG13;0;1
12;FG13;0;1
14;FG13;0;1
14;FG13;0;1
14;FG13;0;1
14;FG13;0;1
14;FG13;0;1
16;FG13;0;1
16;FG13;0;1
16;FG13;0;1
16;FG13;0;1
16;FG13;0;1
18;FG13;0;1
18;FG13;0;1
4;FG20;0;1
4;FG20;0;1
4;FG20;0;1
4;FG20;0;1
6;FG20;0;1
8;FG20;0;1
10;FG20;0;1
12;FG20;0;1
18;FG20;0;1
18;FG20;0;1
4;FG20;1;1
4;FG20;1;1
4;FG20;1;1
4;FG20;1;1
6;FG20;1;1
6;FG20;1;1
6;FG20;1;1
6;FG20;1;1
6;FG20;1;1
6;FG20;1;1
6;FG20;1;1
8;FG20;1;1
8;FG20;1;1
10;FG20;1;1
10;FG20;1;1
10;FG20;1;1
10;FG20;1;1
12;FG20;1;1
12;FG20;1;1
14;FG20;1;1
16;FG20;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
8;FG13;1;1
8;FG13;1;1
8;FG13;1;1
8;FG13;1;1
8;FG13;1;1
8;FG13;1;1
10;FG13;1;1
10;FG13;1;1
12;FG13;1;1
12;FG13;1;1
12;FG13;1;1
12;FG13;1;1
14;FG13;1;1
14;FG13;1;1
14;FG13;1;1
16;FG13;1;1
6;OP50;0;1
6;OP50;0;1
6;OP50;0;1
8;OP50;0;1
8;OP50;0;1
8;OP50;0;1
10;OP50;0;1
10;OP50;0;1
10;OP50;0;1
10;OP50;0;1
10;OP50;0;1
12;OP50;0;1
12;OP50;0;1
14;OP50;0;1
14;OP50;0;1
14;OP50;0;1
14;OP50;0;1
14;OP50;0;1
14;OP50;0;1
16;OP50;0;1
16;OP50;0;1
16;OP50;0;1
18;OP50;0;1
18;OP50;0;1
18;OP50;0;1
4;FG13;0;1
4;FG13;0;1
6;FG13;0;1
8;FG13;0;1
10;FG13;0;1
14;FG13;0;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
6;FG13;1;1
8;FG13;1;1
8;FG13;1;1
8;FG13;1;1
10;FG13;1;1
12;FG13;1;1
12;FG13;1;1
12;FG13;1;1
12;FG13;1;1
12;FG13;1;1
12;FG13;1;1
14;FG13;1;1
14;FG13;1;1
16;FG13;1;1
16;FG13;1;1
16;FG13;1;1
16;FG13;1;1
16;FG13;1;1
16;FG13;1;1
18;FG13;1;1
18;FG13;1;1
18;FG13;1;0
18;FG13;1;0
8;OP50;0;1
8;OP50;0;1
8;OP50;0;1
10;OP50;0;1
10;OP50;0;1
10;OP50;0;1
10;OP50;0;1
12;OP50;0;1
12;OP50;0;1
16;OP50;0;1
16;OP50;0;1
18;OP50;0;1
18;OP50;0;1
18;OP50;0;0
18;OP50;0;0
18;OP50;0;0
18;OP50;0;0
18;OP50;0;0
18;OP50;0;0
18;OP50;0;0
18;OP50;0;0
